id ,시설구분,상세구분,축종,시설명(name),소재지(주소) ,위도,경도,addr_shp,연락처(전화번호),info,SCALE_FMD,SCALE_HPAI,닭,돼지,소,오리,생산능력(m/t),newest
1,도계장,,닭,(주)키토랑,대구광역시 서구 와룡로73길 50(중리동 1024),35.86713095,128.5337028,대구광역시,053-560-9999,1일도축능력:52218,0,52218 ,52218 ,,,,,1
2,도계장,,닭,인천식품(주),인천 서구 중봉대로 154(가좌동 가좌동 602-23),37.49298582,126.6486329,인천광역시,032-578-7711,1일도축능력:19607,0,19607 ,19607 ,,,,,1
3,도계장,,닭,(주)마니커 동두천지점,경기도 동두천시 승전로 6 (하봉암동 127번지),37.97094675,127.0655508,경기도_동두천시,031-857-1100,1일도축능력:118153,0,118153 ,118153 ,,,,,1
4,도계장,,닭,(주)청정계,경기도 양주시 평화로 1600 (회정동 170번지 5호),37.83337699,127.0582693,경기도_양주시,031-859-2121,1일도축능력:16748,0,16748 ,16748 ,,,,,1
5,도계장,,닭,(주)크레치코,경기도 김포시 월곶면 비석동로 50번길 109,37.70666455,126.5751203,경기도_김포시,031-987-8151,1일도축능력:37811,0,37811 ,37811 ,,,,,1
6,도계장,,닭,농업회사법인 주식회사 대마,경기도 용인시 처인구 경안천로 214-2(고림동 676번지 1호),37.2501803,127.2170718,경기도_용인시,031-336-8900,1일도축능력:51042,0,51042 ,51042 ,,,,,1
7,도계장,,"닭,오리",농업회사법인 주식회사 자연일가,경기도 파주시 법원읍 자운서원로 410-6(동문리 619번지 23호 1통 5반),37.86479684,126.8463597,경기도_파주시,031-958-7339,1일도축능력:9511,0,9511 ,9511 ,,,,,1
8,도계장,,닭,농업회사법인정우식품(주),경기도 포천시 신북면 중앙로 378(가채리 295-1),37.91882903,127.2156023,경기도_포천시,031-533-7731,1일도축능력:22388,0,22388 ,22388 ,,,,,1
9,도계장,,닭,에비앙푸드(주)(구 팔이씨에프에스),경기도 화성시 봉담읍 효행로20번길 16-32(수영리 387번지 1호),37.24141735,126.9554691,경기도_화성시,031-291-1521,1일도축능력:22282,0,22282 ,22282 ,,,,,1
10,도계장,,닭,한강씨엠(주),경기도 화성시 만년로 905-17(안녕리 146-123) ,37.19171235,127.0004626,경기도_화성시,031-226-6000,1일도축능력:66116,0,66116 ,66116 ,,,,,1
11,도계장,,닭,(주)해마로,강원도 인제군 덕산로 20번길 94,38.08396273,128.1952649,강원도_인제군,033-463.-8881,1일도축능력:26118,0,26118 ,26118 ,,,,,1
12,도계장,,"닭,꿩",(주)현진,강원도 춘천시 동면 만천양지길 147,37.89098792,127.7678306,강원도_춘천시,033-255-1893,1일도축능력:13765,0,13765 ,13765 ,,,,,1
13,도계장,,닭,(주)농협목우촌,충북 음성군 금왕읍 대금로1278번길 81(오선리 526번지),36.9832627,127.5797298,충청북도_음성군,043-879-0063,1일도축능력:69019,0,69019 ,69019 ,,,,,1
14,도계장,,닭,(주)마니커 충주지점,충북 충주시 하용두3길 73(용두동 291번지 1호),36.9644327,127.8905052,충청북도_충주시,043-856-0111,1일도축능력:58974,0,58974 ,58974 ,,,,,1
15,도계장,,닭,(주)씨.에스코리아,충북 충주시 대소원면 완오길 232(완오리 683번지),36.96981027,127.846804,충청북도_충주시,043-857-9755~7,1일도축능력:104642,0,104642 ,104642 ,,,,,1
16,도계장,,닭,(주)체리부로,충북 진천군 이월면 생거진천로 1770(중산리 산 10번지 1호),36.90187321,127.4496557,충청북도_진천군,043-530-3293,1일도축능력:170682,0,170682 ,170682 ,,,,,1
17,도계장,,닭,주식회사 금보식품 제천지점,충북 제천시 청풍호로19안길 65(산곡동 64번지),37.10037439,128.19192,충청북도_제천시,043-645-1712,1일도축능력:36808,0,36808 ,36808 ,,,,,1
18,도계장,,닭,(주)신우 에프에스,서산시 고북면 고북1로 343-22(기포리 137-5),36.67195612,126.5288972,충청남도_서산시,041-663-7250,1일도축능력:13813,0,13813 ,13813 ,,,,,1
19,도계장,,닭,(주)대오,,,,,,1일도축능력:41329,0,41329 ,41329 ,,,,,1
20,도계장,,"닭,오리",(주)들녘,아산시 인주면 아산호로 23-46(공세리 68-5),36.88703044,126.9152332,충청남도_아산시,041-541-3134,1일도축능력:27029,0,27029 ,27029 ,,,,,1
21,도계장,,닭,(주)마니커 천안지점,천안시 동면 화복로 551(화덕리 319-6),36.76532095,127.4080211,충청남도_천안시,041-569-6000,1일도축능력:76850,0,76850 ,76850 ,,,,,1
22,도계장,,닭,금화식품(주) 보령공장,보령시 오천면 오천해안로 296(영보리 307),36.41211581,126.5061925,충청남도_보령시,041-932-8683,1일도축능력:37262,0,37262 ,37262 ,,,,,1
23,도계장,,닭,주식회사 해나루싱싱닭(구 씨앤디),당진 송악읍 송악로 625-1(중흥리 358),36.93794114,126.7389342,충청남도_당진시,041-358-9908,1일도축능력:17408,0,17408 ,17408 ,,,,,1
24,도계장,,닭,(주)동우(팜투테이블),군산시 서수면 관원리 507-1,36.01141309,126.8755234,전라북도_군산시,450-1979,1일도축능력:186757,0,186757 ,186757 ,,,,,1
25,도계장,,닭,(주)산들에프시,부안군 행안면 역리 1146,35.7375333,126.7281797,전라북도_부안군,581-0011,1일도축능력:28494,0,28494 ,28494 ,,,,,1
26,도계장,,"닭,오리",(주)참프레,부안군 행안면 역리 1142,35.73564834,126.7245809,전라북도_부안군,580-6000,1일도축능력:210635,0,210635 ,210635 ,,,,,1
27,도계장,,닭,(주)하 림,익산시 망성면 어량리 13-14,36.0768856,127.0409049,전라북도_익산시,862-2542,1일도축능력:306117,0,306117 ,306117 ,,,,,1
28,도계장,,닭,(주)하림 정읍공장,정읍시 북면 태곡리 92,35.60135576,126.92325,전라북도_정읍시,530-2875,1일도축능력:191554,0,191554 ,191554 ,,,,,1
29,도계장,,닭,농업회사법인(주)사조화인코리아,김제시 금산면 용산리 296,35.74744938,127.008663,전라북도_김제시,070-4367-5883,1일도축능력:41467,0,41467 ,41467 ,,,,,1
30,도계장,,닭,농업회사법인(주)사조화인코리아순동공장,김제시 순동 957,35.81626031,126.9252015,전라북도_김제시,070-4480-9792,1일도축능력:32900,0,32900 ,32900 ,,,,,1
31,도계장,,닭,농업회사법인(주)싱그린에프에스,익산시 용안면 익산대로 2078,36.10458289,126.9621565,전라북도_익산시,861-7568,1일도축능력:17924,0,17924 ,17924 ,,,,,1
32,도계장,,닭,(주)유진,여수시 망양로 510 (오천동 176-2),34.79096229,127.7541283,전라남도_여수시,061-651-9211,1일도축능력:5020,0,5020 ,5020 ,,,,,1
33,도계장,,닭,(주)금화,무안군 청계면 청계공단1길 128(송현리 637-2),34.94271871,126.4304036,전라남도_무안군,061-450-8877,1일도축능력:54997,0,54997 ,54997 ,,,,,1
34,도계장,,닭,(주)사조화인코리아 나주공장,나주시 금천면 금영로 792(고동리 313),35.01948622,126.7576165,전라남도_나주시,061-331-8383,1일도축능력:54870,0,54870 ,54870 ,,,,,1
35,도계장,,닭,(주)체리부로 금계지점,장성군 동화면 연산로 88-23(남평리 452-19),35.26718212,126.7215613,전라남도_장성군,061-392-9741,1일도축능력:55263,0,55263 ,55263 ,,,,,1
36,도계장,,"닭,꿩 ",(주)올품,상주시 발산로 135 (초산동),36.45715236,128.1747365,경상북도_상주시,054-533-9998,1일도축능력:218565,0,218565 ,218565 ,,,,,1
37,도계장,,닭,(주)계진푸드,경상남도 거창군 마리면 거안로 487-81(고학리 1295번지),35.67963768,127.8294188,경상남도_거창군,055-943-8203 ,1일도축능력:22778,0,22778 ,22778 ,,,,,1
38,도계장,,닭,(주)한려식품,경상남도 거제시 사등면 거제대로 5943(청곡리 97번지),34.90131224,128.5121512,경상남도_거제시,055-632-9112,1일도축능력:5001,0,5001 ,5001 ,,,,,1
39,도계장,,닭,농업회사법인(주)한라씨에프엔,제주시 구좌읍 행원로 13길 99(행원리 542번지 10호),33.55520973,126.8138308,제주특별자치도_제주시,064-784-6682,1일도축능력:10170,0,10170 ,10170 ,,,,,1
